,Tech Stack,BOD(mg/l),COD(mg/l),TSS(mg/l),TN(mg/l),FC(MPN/l),Land,Power,Capital Cost,O&M Cost
0,SBT+None+None,4.1822,7.760199999999999,6.7392,3.3,99.80000000000001,50399999,261360,1718400000,172799999
1,BIOFOR-F+None+None,0.6599999999999999,2.116,1.92,3.3,99.80000000000001,134400000,388800,2234400000,153600000
2,A2O+None+None,0.2574,4.1124,0.2592,2.5399,1297.3999999999999,100799999,367200,2580000000,240000000
3,SBT+MLE+None,4.1822,7.760199999999999,6.7392,0.8085,9.98,117600000,520560,3158400000,460799999
4,SBR+None+None,0.99,4.6000000000000005,1.0392,2.75,99.80000000000001,92400000,324000,3223200000,153600000
5,SBT+WUHERMAN+None,0.11291939999999999,7.760199999999999,0.0404352,0.3663,9.98,117600000,520560,3398400000,460799999
